cbsa_fips,cbsa,st_cap
16700,"Charleston-North Charleston, SC",0
16740,"Charlotte-Concord-Gastonia, NC-SC",0
16820,"Charlottesville, VA",0
16860,"Chattanooga, TN-GA",0
16940,"Cheyenne, WY",1
16980,"Chicago-Naperville-Elgin, IL-IN-WI",0
17020,"Chico, CA",0
17140,"Cincinnati, OH-KY-IN",0
17300,"Clarksville, TN-KY",0
17420,"Cleveland, TN",0
17460,"Cleveland-Elyria, OH",0
17660,"Coeur d'Alene, ID",0
17780,"College Station-Bryan, TX",0
17820,"Colorado Springs, CO",0
17860,"Columbia, MO",0
17900,"Columbia, SC",1
17980,"Columbus, GA-AL",0
18020,"Columbus, IN",0
18140,"Columbus, OH",1
18580,"Corpus Christi, TX",0
18700,"Corvallis, OR",0
18880,"Crestview-Fort Walton Beach-Destin, FL",0
19060,"Cumberland, MD-WV",0
19100,"Dallas-Fort Worth-Arlington, TX",0
19140,"Dalton, GA",0
19180,"Danville, IL",0
19340,"Davenport-Moline-Rock Island, IA-IL",0
19380,"Dayton, OH",0
19460,"Decatur, AL",0
19500,"Decatur, IL",0
19660,"Deltona-Daytona Beach-Ormond Beach, FL",0
19740,"Denver-Aurora-Lakewood, CO",1
19780,"Des Moines-West Des Moines, IA",1
19820,"Detroit-Warren-Dearborn, MI",0
20020,"Dothan, AL",0
20100,"Dover, DE",1
20220,"Dubuque, IA",0
20260,"Duluth, MN-WI",0
20500,"Durham-Chapel Hill, NC",0
20740,"Eau Claire, WI",0
20940,"El Centro, CA",0
21060,"Elizabethtown-Fort Knox, KY",0
21140,"Elkhart-Goshen, IN",0
21300,"Elmira, NY",0
21340,"El Paso, TX",0
21500,"Erie, PA",0
21660,"Eugene, OR",0
21780,"Evansville, IN-KY",0
21820,"Fairbanks, AK",0
22020,"Fargo, ND-MN",0
22140,"Farmington, NM",0
22180,"Fayetteville, NC",0
22220,"Fayetteville-Springdale-Rogers, AR-MO",0
22380,"Flagstaff, AZ",0
22420,"Flint, MI",0
22500,"Florence, SC",0
22520,"Florence-Muscle Shoals, AL",0
22540,"Fond du Lac, WI",0
22660,"Fort Collins, CO",0
22900,"Fort Smith, AR-OK",0
23060,"Fort Wayne, IN",0
23420,"Fresno, CA",0
23460,"Gadsden, AL",0
23540,"Gainesville, FL",0
23580,"Gainesville, GA",0
24020,"Glens Falls, NY",0
24140,"Goldsboro, NC",0
24220,"Grand Forks, ND-MN",0
24300,"Grand Junction, CO",0
24340,"Grand Rapids-Wyoming, MI",0
24500,"Great Falls, MT",0
24540,"Greeley, CO",0
24580,"Green Bay, WI",0
24660,"Greensboro-High Point, NC",0
24780,"Greenville, NC",0
24860,"Greenville-Anderson-Mauldin, SC",0
25060,"Gulfport-Biloxi-Pascagoula, MS",0
25180,"Hagerstown-Martinsburg, MD-WV",0
25260,"Hanford-Corcoran, CA",0
25420,"Harrisburg-Carlisle, PA",1
25500,"Harrisonburg, VA",0
25540,"Hartford-West Hartford-East Hartford, CT",1
25620,"Hattiesburg, MS",0
25860,"Hickory-Lenoir-Morganton, NC",0
25980,"Hinesville, GA",0
26300,"Hot Springs, AR",0
26380,"Houma-Thibodaux, LA",0
26420,"Houston-The Woodlands-Sugar Land, TX",0
26580,"Huntington-Ashland, WV-KY-OH",0
26620,"Huntsville, AL",0
26820,"Idaho Falls, ID",0
26900,"Indianapolis-Carmel-Anderson, IN",1
26980,"Iowa City, IA",0
27060,"Ithaca, NY",0
27100,"Jackson, MI",0
27140,"Jackson, MS",1
27180,"Jackson, TN",0
27260,"Jacksonville, FL",0
27340,"Jacksonville, NC",0
27500,"Janesville-Beloit, WI",0
27620,"Jefferson City, MO",1
27740,"Johnson City, TN",0
27780,"Johnstown, PA",0
27860,"Jonesboro, AR",0
27900,"Joplin, MO",0
28020,"Kalamazoo-Portage, MI",0
28100,"Kankakee, IL",0
28140,"Kansas City, MO-KS",0
28420,"Kennewick-Richland, WA",0
28660,"Killeen-Temple, TX",0
28700,"Kingsport-Bristol-Bristol, TN-VA",0
28740,"Kingston, NY",0
28940,"Knoxville, TN",0
29020,"Kokomo, IN",0
29100,"La Crosse-Onalaska, WI-MN",0
29180,"Lafayette, LA",0
29200,"Lafayette-West Lafayette, IN",0
29340,"Lake Charles, LA",0
29460,"Lakeland-Winter Haven, FL",0
29540,"Lancaster, PA",0
29620,"Lansing-East Lansing, MI",1
29700,"Laredo, TX",0
29740,"Las Cruces, NM",0
29820,"Las Vegas-Henderson-Paradise, NV",0
29940,"Lawrence, KS",0
30020,"Lawton, OK",0
30140,"Lebanon, PA",0
30300,"Lewiston, ID-WA",0
30340,"Lewiston-Auburn, ME",0
30460,"Lexington-Fayette, KY",0
30620,"Lima, OH",0
30700,"Lincoln, NE",1
30780,"Little Rock-North Little Rock-Conway, AR",1
30860,"Logan, UT-ID",0
30980,"Longview, TX",0
31020,"Longview, WA",0
31080,"Los Angeles-Long Beach-Anaheim, CA",0
31140,"Louisville/Jefferson County, KY-IN",0
31180,"Lubbock, TX",0
31340,"Lynchburg, VA",0
31420,"Macon-Bibb County, GA",0
31460,"Madera, CA",0
31540,"Madison, WI",1
31700,"Manchester-Nashua, NH",0
31900,"Mansfield, OH",0
32580,"McAllen-Edinburg-Mission, TX",0
32780,"Medford, OR",0
32820,"Memphis, TN-MS-AR",0
32900,"Merced, CA",0
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",0
33140,"Michigan City-La Porte, IN",0
33260,"Midland, TX",0
33340,"Milwaukee-Waukesha-West Allis, WI",0
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1
33540,"Missoula, MT",0
33660,"Mobile, AL",0
33700,"Modesto, CA",0
33740,"Monroe, LA",0
33780,"Monroe, MI",0
33860,"Montgomery, AL",1
34060,"Morgantown, WV",0
34100,"Morristown, TN",0
34580,"Mount Vernon-Anacortes, WA",0
34620,"Muncie, IN",0
34740,"Muskegon, MI",0
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",0
34900,"Napa, CA",0
34940,"Naples-Immokalee-Marco Island, FL",0
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1
35300,"New Haven-Milford, CT",0
35380,"New Orleans-Metairie, LA",0
35620,"New York-Newark-Jersey City, NY-NJ-PA",0
35660,"Niles-Benton Harbor, MI",0
35840,"North Port-Sarasota-Bradenton, FL",0
35980,"Norwich-New London, CT",0
36100,"Ocala, FL",0
36140,"Ocean City, NJ",0
36220,"Odessa, TX",0
36260,"Ogden-Clearfield, UT",0
36420,"Oklahoma City, OK",1
36500,"Olympia-Tumwater, WA",1
36540,"Omaha-Council Bluffs, NE-IA",0
36740,"Orlando-Kissimmee-Sanford, FL",0
36780,"Oshkosh-Neenah, WI",0
36980,"Owensboro, KY",0
37100,"Oxnard-Thousand Oaks-Ventura, CA",0
37340,"Palm Bay-Melbourne-Titusville, FL",0
37460,"Panama City, FL",0
37620,"Parkersburg-Vienna, WV",0
37860,"Pensacola-Ferry Pass-Brent, FL",0
37900,"Peoria, IL",0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0
38060,"Phoenix-Mesa-Scottsdale, AZ",1
38220,"Pine Bluff, AR",0
38300,"Pittsburgh, PA",0
38340,"Pittsfield, MA",0
38540,"Pocatello, ID",0
38860,"Portland-South Portland, ME",0
38900,"Portland-Vancouver-Hillsboro, OR-WA",0
38940,"Port St. Lucie, FL",0
39140,"Prescott, AZ",0
39300,"Providence-Warwick, RI-MA",1
39340,"Provo-Orem, UT",0
39380,"Pueblo, CO",0
39460,"Punta Gorda, FL",0
39540,"Racine, WI",0
39580,"Raleigh, NC",1
39660,"Rapid City, SD",0
39740,"Reading, PA",0
39820,"Redding, CA",0
39900,"Reno, NV",0
40060,"Richmond, VA",1
40140,"Riverside-San Bernardino-Ontario, CA",0
40220,"Roanoke, VA",0
40340,"Rochester, MN",0
40380,"Rochester, NY",0
40420,"Rockford, IL",0
40580,"Rocky Mount, NC",0
40660,"Rome, GA",0
40900,"Sacramento--Roseville--Arden-Arcade, CA",1
40980,"Saginaw, MI",0
41060,"St. Cloud, MN",0
41100,"St. George, UT",0
41140,"St. Joseph, MO-KS",0
41180,"St. Louis, MO-IL",0
41420,"Salem, OR",1
41500,"Salinas, CA",0
41540,"Salisbury, MD-DE",0
41620,"Salt Lake City, UT",1
41660,"San Angelo, TX",0
41700,"San Antonio-New Braunfels, TX",0
41740,"San Diego-Carlsbad, CA",0
41860,"San Francisco-Oakland-Hayward, CA",0
41940,"San Jose-Sunnyvale-Santa Clara, CA",0
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",0
42100,"Santa Cruz-Watsonville, CA",0
42140,"Santa Fe, NM",1
42200,"Santa Maria-Santa Barbara, CA",0
42220,"Santa Rosa, CA",0
42340,"Savannah, GA",0
42540,"Scranton--Wilkes-Barre--Hazleton, PA",0
42660,"Seattle-Tacoma-Bellevue, WA",0
42680,"Sebastian-Vero Beach, FL",0
43100,"Sheboygan, WI",0
43300,"Sherman-Denison, TX",0
43340,"Shreveport-Bossier City, LA",0
43580,"Sioux City, IA-NE-SD",0
43620,"Sioux Falls, SD",0
43780,"South Bend-Mishawaka, IN-MI",0
43900,"Spartanburg, SC",0
44060,"Spokane-Spokane Valley, WA",0
44100,"Springfield, IL",1
44140,"Springfield, MA",0
44180,"Springfield, MO",0
44220,"Springfield, OH",0
44300,"State College, PA",0
44700,"Stockton-Lodi, CA",0
44940,"Sumter, SC",0
45060,"Syracuse, NY",0
45220,"Tallahassee, FL",1
45300,"Tampa-St. Petersburg-Clearwater, FL",0
45460,"Terre Haute, IN",0
45500,"Texarkana, TX-AR",0
45780,"Toledo, OH",0
45820,"Topeka, KS",1
45940,"Trenton, NJ",1
46060,"Tucson, AZ",0
46140,"Tulsa, OK",0
46220,"Tuscaloosa, AL",0
46340,"Tyler, TX",0
46520,"Urban Honolulu, HI",1
46540,"Utica-Rome, NY",0
46660,"Valdosta, GA",0
46700,"Vallejo-Fairfield, CA",0
47020,"Victoria, TX",0
47220,"Vineland-Bridgeton, NJ",0
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",0
47300,"Visalia-Porterville, CA",0
47380,"Waco, TX",0
47580,"Warner Robins, GA",0
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0
47940,"Waterloo-Cedar Falls, IA",0
48140,"Wausau, WI",0
48260,"Weirton-Steubenville, WV-OH",0
48300,"Wenatchee, WA",0
48540,"Wheeling, WV-OH",0
48620,"Wichita, KS",0
48660,"Wichita Falls, TX",0
48700,"Williamsport, PA",0
48900,"Wilmington, NC",0
49020,"Winchester, VA-WV",0
49180,"Winston-Salem, NC",0
49340,"Worcester, MA-CT",0
49420,"Yakima, WA",0
49620,"York-Hanover, PA",0
49660,"Youngstown-Warren-Boardman, OH-PA",0
49700,"Yuba City, CA",0
49740,"Yuma, AZ",0
