PROGRAM_LABEL,NAME,CODE,TOTAL_UNITS
MF/Other,AL CHOCTAW COUNTY,1023,0
S8 NC/SR,AL CHOCTAW COUNTY,1023,0
S236,AL CHOCTAW COUNTY,1023,0
All HUD,AL CHOCTAW COUNTY,1023,-1
PH,AL CHOCTAW COUNTY,1023,0
MR,AL CLARKE COUNTY,1025,-1
VO,AL CLARKE COUNTY,1025,-1
S236,AL CLARKE COUNTY,1025,0
All HUD,AL CLARKE COUNTY,1025,-1
MF/Other,AL CLARKE COUNTY,1025,9
S8 NC/SR,AL CLARKE COUNTY,1025,89
PH,AL CLARKE COUNTY,1025,0
MR,AL CLAY COUNTY,1027,-1
VO,AL CLAY COUNTY,1027,-1
S236,AL CLAY COUNTY,1027,0
S8 NC/SR,AL CLAY COUNTY,1027,40
MF/Other,AL CLAY COUNTY,1027,0
All HUD,AL CLAY COUNTY,1027,-1
PH,AL CLAY COUNTY,1027,385
MR,AL CLEBURNE COUNTY,1029,-1
VO,AL CLEBURNE COUNTY,1029,-1
MF/Other,AL CLEBURNE COUNTY,1029,0
All HUD,AL CLEBURNE COUNTY,1029,-1
S8 NC/SR,AL CLEBURNE COUNTY,1029,64
S236,AL CLEBURNE COUNTY,1029,0
PH,AL CLEBURNE COUNTY,1029,34
VO,AL COFFEE COUNTY,1031,-1
MR,AL COFFEE COUNTY,1031,-1
S236,AL COFFEE COUNTY,1031,0
S8 NC/SR,AL COFFEE COUNTY,1031,158
All HUD,AL COFFEE COUNTY,1031,-1
MF/Other,AL COFFEE COUNTY,1031,0
PH,AL COFFEE COUNTY,1031,315
MR,AL COLBERT COUNTY,1033,-1
VO,AL COLBERT COUNTY,1033,-1
All HUD,AL COLBERT COUNTY,1033,-1
S8 NC/SR,AL COLBERT COUNTY,1033,165
S236,AL COLBERT COUNTY,1033,0
MF/Other,AL COLBERT COUNTY,1033,60
PH,AL COLBERT COUNTY,1033,653
MR,AL CONECUH COUNTY,1035,-1
VO,AL CONECUH COUNTY,1035,-1
S8 NC/SR,AL CONECUH COUNTY,1035,87
S236,AL CONECUH COUNTY,1035,0
All HUD,AL CONECUH COUNTY,1035,-1
MF/Other,AL CONECUH COUNTY,1035,0
PH,AL CONECUH COUNTY,1035,90
VO,AL COOSA COUNTY,1037,-1
MR,AL COOSA COUNTY,1037,-1
All HUD,AL COOSA COUNTY,1037,-1
S8 NC/SR,AL COOSA COUNTY,1037,0
S236,AL COOSA COUNTY,1037,0
MF/Other,AL COOSA COUNTY,1037,0
PH,AL COOSA COUNTY,1037,0
VO,AL COVINGTON COUNTY,1039,-1
MR,AL COVINGTON COUNTY,1039,-1
S236,AL COVINGTON COUNTY,1039,0
S8 NC/SR,AL COVINGTON COUNTY,1039,149
MF/Other,AL COVINGTON COUNTY,1039,45
All HUD,AL COVINGTON COUNTY,1039,-1
PH,AL COVINGTON COUNTY,1039,332
MR,AL CRENSHAW COUNTY,1041,-1
VO,AL CRENSHAW COUNTY,1041,-1
S8 NC/SR,AL CRENSHAW COUNTY,1041,0
S236,AL CRENSHAW COUNTY,1041,0
MF/Other,AL CRENSHAW COUNTY,1041,0
All HUD,AL CRENSHAW COUNTY,1041,-1
PH,AL CRENSHAW COUNTY,1041,306
MR,AL CULLMAN COUNTY,1043,-1
VO,AL CULLMAN COUNTY,1043,-1
All HUD,AL CULLMAN COUNTY,1043,-1
S236,AL CULLMAN COUNTY,1043,0
MF/Other,AL CULLMAN COUNTY,1043,34
S8 NC/SR,AL CULLMAN COUNTY,1043,103
PH,AL CULLMAN COUNTY,1043,447
MR,AL DALE COUNTY,1045,-1
VO,AL DALE COUNTY,1045,-1
All HUD,AL DALE COUNTY,1045,-1
S236,AL DALE COUNTY,1045,0
S8 NC/SR,AL DALE COUNTY,1045,131
MF/Other,AL DALE COUNTY,1045,0
PH,AL DALE COUNTY,1045,531
MR,AL DALLAS COUNTY,1047,-1
VO,AL DALLAS COUNTY,1047,-1
All HUD,AL DALLAS COUNTY,1047,-1
MF/Other,AL DALLAS COUNTY,1047,80
S236,AL DALLAS COUNTY,1047,184
S8 NC/SR,AL DALLAS COUNTY,1047,158
PH,AL DALLAS COUNTY,1047,585
VO,AL DEKALB COUNTY,1049,-1
MR,AL DEKALB COUNTY,1049,-1
S236,AL DEKALB COUNTY,1049,0
MF/Other,AL DEKALB COUNTY,1049,53
All HUD,AL DEKALB COUNTY,1049,-1
S8 NC/SR,AL DEKALB COUNTY,1049,64
PH,AL DEKALB COUNTY,1049,651
MR,AL ELMORE COUNTY,1051,-1
VO,AL ELMORE COUNTY,1051,-1
S8 NC/SR,AL ELMORE COUNTY,1051,50
MF/Other,AL ELMORE COUNTY,1051,0
S236,AL ELMORE COUNTY,1051,0
All HUD,AL ELMORE COUNTY,1051,-1
PH,AL ELMORE COUNTY,1051,100
VO,AL ESCAMBIA COUNTY,1053,-1
MR,AL ESCAMBIA COUNTY,1053,-1
MF/Other,AL ESCAMBIA COUNTY,1053,58
All HUD,AL ESCAMBIA COUNTY,1053,-1
S236,AL ESCAMBIA COUNTY,1053,0
S8 NC/SR,AL ESCAMBIA COUNTY,1053,50
PH,AL ESCAMBIA COUNTY,1053,148
MR,AL ETOWAH COUNTY,1055,-1
VO,AL ETOWAH COUNTY,1055,-1
MF/Other,AL ETOWAH COUNTY,1055,61
S236,AL ETOWAH COUNTY,1055,150
S8 NC/SR,AL ETOWAH COUNTY,1055,622
All HUD,AL ETOWAH COUNTY,1055,-1
PH,AL ETOWAH COUNTY,1055,1178
VO,AL FAYETTE COUNTY,1057,-1
MR,AL FAYETTE COUNTY,1057,-1
S236,AL FAYETTE COUNTY,1057,0
MF/Other,AL FAYETTE COUNTY,1057,30
S8 NC/SR,AL FAYETTE COUNTY,1057,60
All HUD,AL FAYETTE COUNTY,1057,-1
PH,AL FAYETTE COUNTY,1057,224
MR,AL FRANKLIN COUNTY,1059,-1
VO,AL FRANKLIN COUNTY,1059,-1
All HUD,AL FRANKLIN COUNTY,1059,-1
S8 NC/SR,AL FRANKLIN COUNTY,1059,171
S236,AL FRANKLIN COUNTY,1059,0
MF/Other,AL FRANKLIN COUNTY,1059,64
PH,AL FRANKLIN COUNTY,1059,462
VO,AL GENEVA COUNTY,1061,-1
MR,AL GENEVA COUNTY,1061,-1
MF/Other,AL GENEVA COUNTY,1061,0
All HUD,AL GENEVA COUNTY,1061,-1
S236,AL GENEVA COUNTY,1061,0
S8 NC/SR,AL GENEVA COUNTY,1061,40
PH,AL GENEVA COUNTY,1061,261
VO,AL GREENE COUNTY,1063,-1
MR,AL GREENE COUNTY,1063,-1
MF/Other,AL GREENE COUNTY,1063,30
S8 NC/SR,AL GREENE COUNTY,1063,64
S236,AL GREENE COUNTY,1063,0
All HUD,AL GREENE COUNTY,1063,-1
PH,AL GREENE COUNTY,1063,237
MR,AL HALE COUNTY,1065,-1
VO,AL HALE COUNTY,1065,-1
S236,AL HALE COUNTY,1065,0
MF/Other,AL HALE COUNTY,1065,0
All HUD,AL HALE COUNTY,1065,-1
S8 NC/SR,AL HALE COUNTY,1065,114
PH,AL HALE COUNTY,1065,66
VO,AL HENRY COUNTY,1067,-1
MR,AL HENRY COUNTY,1067,-1
All HUD,AL HENRY COUNTY,1067,-1
S236,AL HENRY COUNTY,1067,0
MF/Other,AL HENRY COUNTY,1067,0
S8 NC/SR,AL HENRY COUNTY,1067,80
PH,AL HENRY COUNTY,1067,90
MR,AL HOUSTON COUNTY,1069,-1
VO,AL HOUSTON COUNTY,1069,-1
S8 NC/SR,AL HOUSTON COUNTY,1069,544
S236,AL HOUSTON COUNTY,1069,100
MF/Other,AL HOUSTON COUNTY,1069,0
All HUD,AL HOUSTON COUNTY,1069,-1
PH,AL HOUSTON COUNTY,1069,835
MR,AL JACKSON COUNTY,1071,-1
VO,AL JACKSON COUNTY,1071,-1
S236,AL JACKSON COUNTY,1071,0
MF/Other,AL JACKSON COUNTY,1071,0
All HUD,AL JACKSON COUNTY,1071,-1
S8 NC/SR,AL JACKSON COUNTY,1071,60
PH,AL JACKSON COUNTY,1071,473
MR,AL JEFFERSON COUNTY,1073,-1
VO,AL JEFFERSON COUNTY,1073,-1
MF/Other,AL JEFFERSON COUNTY,1073,773
S236,AL JEFFERSON COUNTY,1073,480
All HUD,AL JEFFERSON COUNTY,1073,-1
S8 NC/SR,AL JEFFERSON COUNTY,1073,2889
PH,AL JEFFERSON COUNTY,1073,7826
VO,AL LAMAR COUNTY,1075,-1
MR,AL LAMAR COUNTY,1075,-1
MF/Other,AL LAMAR COUNTY,1075,13
S236,AL LAMAR COUNTY,1075,0
S8 NC/SR,AL LAMAR COUNTY,1075,50
All HUD,AL LAMAR COUNTY,1075,-1
PH,AL LAMAR COUNTY,1075,366
MR,AL LAUDERDALE COUNTY,1077,-1
VO,AL LAUDERDALE COUNTY,1077,-1
MF/Other,AL LAUDERDALE COUNTY,1077,82
S236,AL LAUDERDALE COUNTY,1077,195
S8 NC/SR,AL LAUDERDALE COUNTY,1077,458
All HUD,AL LAUDERDALE COUNTY,1077,-1
PH,AL LAUDERDALE COUNTY,1077,665
VO,AL LAWRENCE COUNTY,1079,-1
MR,AL LAWRENCE COUNTY,1079,-1
S8 NC/SR,AL LAWRENCE COUNTY,1079,141
S236,AL LAWRENCE COUNTY,1079,0
MF/Other,AL LAWRENCE COUNTY,1079,0
All HUD,AL LAWRENCE COUNTY,1079,-1
PH,AL LAWRENCE COUNTY,1079,88
VO,AL LEE COUNTY,1081,-1
MR,AL LEE COUNTY,1081,-1
All HUD,AL LEE COUNTY,1081,-1
MF/Other,AL LEE COUNTY,1081,24
S236,AL LEE COUNTY,1081,50
S8 NC/SR,AL LEE COUNTY,1081,479
PH,AL LEE COUNTY,1081,902
MR,AL LIMESTONE COUNTY,1083,-1
VO,AL LIMESTONE COUNTY,1083,-1
S236,AL LIMESTONE COUNTY,1083,0
MF/Other,AL LIMESTONE COUNTY,1083,115
S8 NC/SR,AL LIMESTONE COUNTY,1083,152
All HUD,AL LIMESTONE COUNTY,1083,-1
PH,AL LIMESTONE COUNTY,1083,339
MR,AL LOWNDES COUNTY,1085,-1
VO,AL LOWNDES COUNTY,1085,-1
S8 NC/SR,AL LOWNDES COUNTY,1085,0
MF/Other,AL LOWNDES COUNTY,1085,0
S236,AL LOWNDES COUNTY,1085,0
All HUD,AL LOWNDES COUNTY,1085,-1
PH,AL LOWNDES COUNTY,1085,98
MR,AL MACON COUNTY,1087,-1
VO,AL MACON COUNTY,1087,-1
S8 NC/SR,AL MACON COUNTY,1087,195
S236,AL MACON COUNTY,1087,60
MF/Other,AL MACON COUNTY,1087,0
All HUD,AL MACON COUNTY,1087,-1
PH,AL MACON COUNTY,1087,405
VO,AL MADISON COUNTY,1089,-1
MR,AL MADISON COUNTY,1089,-1
S8 NC/SR,AL MADISON COUNTY,1089,534
S236,AL MADISON COUNTY,1089,206
All HUD,AL MADISON COUNTY,1089,-1
MF/Other,AL MADISON COUNTY,1089,456
PH,AL MADISON COUNTY,1089,1888
MR,AL MARENGO COUNTY,1091,-1
VO,AL MARENGO COUNTY,1091,-1
All HUD,AL MARENGO COUNTY,1091,-1
S8 NC/SR,AL MARENGO COUNTY,1091,150
S236,AL MARENGO COUNTY,1091,20
MF/Other,AL MARENGO COUNTY,1091,0
PH,AL MARENGO COUNTY,1091,230
MR,AL MARION COUNTY,1093,-1
VO,AL MARION COUNTY,1093,-1
All HUD,AL MARION COUNTY,1093,-1
S8 NC/SR,AL MARION COUNTY,1093,92
S236,AL MARION COUNTY,1093,0
MF/Other,AL MARION COUNTY,1093,19
PH,AL MARION COUNTY,1093,761
VO,AL MARSHALL COUNTY,1095,-1
MR,AL MARSHALL COUNTY,1095,-1
All HUD,AL MARSHALL COUNTY,1095,-1
MF/Other,AL MARSHALL COUNTY,1095,3
S236,AL MARSHALL COUNTY,1095,108
S8 NC/SR,AL MARSHALL COUNTY,1095,266
PH,AL MARSHALL COUNTY,1095,1010
VO,AL MOBILE COUNTY,1097,-1
MR,AL MOBILE COUNTY,1097,-1
All HUD,AL MOBILE COUNTY,1097,-1
S8 NC/SR,AL MOBILE COUNTY,1097,1506
S236,AL MOBILE COUNTY,1097,352
MF/Other,AL MOBILE COUNTY,1097,1668
PH,AL MOBILE COUNTY,1097,3711
VO,AL MONROE COUNTY,1099,-1
MR,AL MONROE COUNTY,1099,-1
MF/Other,AL MONROE COUNTY,1099,88
All HUD,AL MONROE COUNTY,1099,-1
S8 NC/SR,AL MONROE COUNTY,1099,48
S236,AL MONROE COUNTY,1099,0
PH,AL MONROE COUNTY,1099,100
VO,AL MONTGOMERY COUNTY,1101,-1
MR,AL MONTGOMERY COUNTY,1101,-1
MF/Other,AL MONTGOMERY COUNTY,1101,113
S8 NC/SR,AL MONTGOMERY COUNTY,1101,1199
All HUD,AL MONTGOMERY COUNTY,1101,-1
S236,AL MONTGOMERY COUNTY,1101,704
PH,AL MONTGOMERY COUNTY,1101,2304
VO,AL MORGAN COUNTY,1103,-1
MR,AL MORGAN COUNTY,1103,-1
MF/Other,AL MORGAN COUNTY,1103,27
S236,AL MORGAN COUNTY,1103,100
All HUD,AL MORGAN COUNTY,1103,-1
S8 NC/SR,AL MORGAN COUNTY,1103,410
PH,AL MORGAN COUNTY,1103,847
VO,AL PERRY COUNTY,1105,-1
MR,AL PERRY COUNTY,1105,-1
MF/Other,AL PERRY COUNTY,1105,0
S236,AL PERRY COUNTY,1105,0
S8 NC/SR,AL PERRY COUNTY,1105,129
All HUD,AL PERRY COUNTY,1105,-1
PH,AL PERRY COUNTY,1105,156
VO,AL PICKENS COUNTY,1107,-1
MR,AL PICKENS COUNTY,1107,-1
MF/Other,AL PICKENS COUNTY,1107,0
S236,AL PICKENS COUNTY,1107,0
S8 NC/SR,AL PICKENS COUNTY,1107,0
All HUD,AL PICKENS COUNTY,1107,-1
PH,AL PICKENS COUNTY,1107,313
VO,AL PIKE COUNTY,1109,-1
MR,AL PIKE COUNTY,1109,-1
S8 NC/SR,AL PIKE COUNTY,1109,50
S236,AL PIKE COUNTY,1109,0
All HUD,AL PIKE COUNTY,1109,-1
MF/Other,AL PIKE COUNTY,1109,0
PH,AL PIKE COUNTY,1109,533
MR,AL RANDOLPH COUNTY,1111,-1
VO,AL RANDOLPH COUNTY,1111,-1
S236,AL RANDOLPH COUNTY,1111,0
All HUD,AL RANDOLPH COUNTY,1111,-1
MF/Other,AL RANDOLPH COUNTY,1111,0
S8 NC/SR,AL RANDOLPH COUNTY,1111,85
PH,AL RANDOLPH COUNTY,1111,95
VO,AL RUSSELL COUNTY,1113,-1
MR,AL RUSSELL COUNTY,1113,-1
S236,AL RUSSELL COUNTY,1113,0
MF/Other,AL RUSSELL COUNTY,1113,120
All HUD,AL RUSSELL COUNTY,1113,-1
S8 NC/SR,AL RUSSELL COUNTY,1113,176
PH,AL RUSSELL COUNTY,1113,940
VO,AL ST. CLAIR COUNTY,1115,-1
MR,AL ST. CLAIR COUNTY,1115,-1
MF/Other,AL ST. CLAIR COUNTY,1115,11
S236,AL ST. CLAIR COUNTY,1115,0
All HUD,AL ST. CLAIR COUNTY,1115,-1
S8 NC/SR,AL ST. CLAIR COUNTY,1115,20
PH,AL ST. CLAIR COUNTY,1115,138
VO,AL SHELBY COUNTY,1117,-1
MR,AL SHELBY COUNTY,1117,-1
S8 NC/SR,AL SHELBY COUNTY,1117,53
S236,AL SHELBY COUNTY,1117,0
MF/Other,AL SHELBY COUNTY,1117,0
All HUD,AL SHELBY COUNTY,1117,-1
PH,AL SHELBY COUNTY,1117,391
MR,AL SUMTER COUNTY,1119,-1
VO,AL SUMTER COUNTY,1119,-1
All HUD,AL SUMTER COUNTY,1119,-1
S8 NC/SR,AL SUMTER COUNTY,1119,190
MF/Other,AL SUMTER COUNTY,1119,0
S236,AL SUMTER COUNTY,1119,0
PH,AL SUMTER COUNTY,1119,200
VO,AL TALLADEGA COUNTY,1121,-1
MR,AL TALLADEGA COUNTY,1121,-1
All HUD,AL TALLADEGA COUNTY,1121,-1
S8 NC/SR,AL TALLADEGA COUNTY,1121,207
S236,AL TALLADEGA COUNTY,1121,140
MF/Other,AL TALLADEGA COUNTY,1121,49
PH,AL TALLADEGA COUNTY,1121,1314
VO,AL TALLAPOOSA COUNTY,1123,-1
MR,AL TALLAPOOSA COUNTY,1123,-1
S8 NC/SR,AL TALLAPOOSA COUNTY,1123,120
S236,AL TALLAPOOSA COUNTY,1123,0
All HUD,AL TALLAPOOSA COUNTY,1123,-1
MF/Other,AL TALLAPOOSA COUNTY,1123,0
PH,AL TALLAPOOSA COUNTY,1123,612
VO,AL TUSCALOOSA COUNTY,1125,-1
MR,AL TUSCALOOSA COUNTY,1125,-1
All HUD,AL TUSCALOOSA COUNTY,1125,-1
MF/Other,AL TUSCALOOSA COUNTY,1125,302
S8 NC/SR,AL TUSCALOOSA COUNTY,1125,526
S236,AL TUSCALOOSA COUNTY,1125,429
PH,AL TUSCALOOSA COUNTY,1125,1599
MR,AL WALKER COUNTY,1127,-1
VO,AL WALKER COUNTY,1127,-1
All HUD,AL WALKER COUNTY,1127,-1
MF/Other,AL WALKER COUNTY,1127,35
S236,AL WALKER COUNTY,1127,60
S8 NC/SR,AL WALKER COUNTY,1127,221
PH,AL WALKER COUNTY,1127,591
MR,AL WASHINGTON COUNTY,1129,-1
VO,AL WASHINGTON COUNTY,1129,-1
MF/Other,AL WASHINGTON COUNTY,1129,0
S236,AL WASHINGTON COUNTY,1129,0
S8 NC/SR,AL WASHINGTON COUNTY,1129,0
All HUD,AL WASHINGTON COUNTY,1129,-1
PH,AL WASHINGTON COUNTY,1129,30
VO,AL WILCOX COUNTY,1131,-1
MR,AL WILCOX COUNTY,1131,-1
S8 NC/SR,AL WILCOX COUNTY,1131,146
All HUD,AL WILCOX COUNTY,1131,-1
S236,AL WILCOX COUNTY,1131,0
MF/Other,AL WILCOX COUNTY,1131,0
PH,AL WILCOX COUNTY,1131,0
MR,AL WINSTON COUNTY,1133,-1
VO,AL WINSTON COUNTY,1133,-1
MF/Other,AL WINSTON COUNTY,1133,15
All HUD,AL WINSTON COUNTY,1133,-1
S8 NC/SR,AL WINSTON COUNTY,1133,9
S236,AL WINSTON COUNTY,1133,0
PH,AL WINSTON COUNTY,1133,406
VO,AL NO COUNTY CODE,1999,-1
MR,AL NO COUNTY CODE,1999,-1
All HUD,AL NO COUNTY CODE,1999,-1
S236,AL NO COUNTY CODE,1999,0
MF/Other,AL NO COUNTY CODE,1999,0
S8 NC/SR,AL NO COUNTY CODE,1999,0
PH,AL NO COUNTY CODE,1999,0
MR,AK ALEUTIANS EAST BOROUGH,2013,-1
VO,AK ALEUTIANS EAST BOROUGH,2013,-1
MF/Other,AK ALEUTIANS EAST BOROUGH,2013,0
S236,AK ALEUTIANS EAST BOROUGH,2013,0
S8 NC/SR,AK ALEUTIANS EAST BOROUGH,2013,0
All HUD,AK ALEUTIANS EAST BOROUGH,2013,-1
PH,AK ALEUTIANS EAST BOROUGH,2013,0
MR,AK ALEUTIANS WEST CENSUS AREA,2016,-1
VO,AK ALEUTIANS WEST CENSUS AREA,2016,-1
MF/Other,AK ALEUTIANS WEST CENSUS AREA,2016,0
S236,AK ALEUTIANS WEST CENSUS AREA,2016,0
S8 NC/SR,AK ALEUTIANS WEST CENSUS AREA,2016,0
All HUD,AK ALEUTIANS WEST CENSUS AREA,2016,-1
PH,AK ALEUTIANS WEST CENSUS AREA,2016,0
VO,AK ANCHORAGE MUNICIPALITY,2020,-1
MR,AK ANCHORAGE MUNICIPALITY,2020,-1
MF/Other,AK ANCHORAGE MUNICIPALITY,2020,869
S236,AK ANCHORAGE MUNICIPALITY,2020,0
All HUD,AK ANCHORAGE MUNICIPALITY,2020,-1
S8 NC/SR,AK ANCHORAGE MUNICIPALITY,2020,213
PH,AK ANCHORAGE MUNICIPALITY,2020,571
VO,AK BETHEL CENSUS AREA,2050,-1
MR,AK BETHEL CENSUS AREA,2050,-1
MF/Other,AK BETHEL CENSUS AREA,2050,0
S236,AK BETHEL CENSUS AREA,2050,0
S8 NC/SR,AK BETHEL CENSUS AREA,2050,24
All HUD,AK BETHEL CENSUS AREA,2050,-1
PH,AK BETHEL CENSUS AREA,2050,117
VO,AK BRISTOL BAY BOROUGH,2060,-1
MR,AK BRISTOL BAY BOROUGH,2060,-1
MF/Other,AK BRISTOL BAY BOROUGH,2060,0
All HUD,AK BRISTOL BAY BOROUGH,2060,-1
S236,AK BRISTOL BAY BOROUGH,2060,0
S8 NC/SR,AK BRISTOL BAY BOROUGH,2060,0
PH,AK BRISTOL BAY BOROUGH,2060,0
MR,AK DENALI BOROUGH,2068,-1
VO,AK DENALI BOROUGH,2068,-1
All HUD,AK DENALI BOROUGH,2068,-1
S236,AK DENALI BOROUGH,2068,0
MF/Other,AK DENALI BOROUGH,2068,0
S8 NC/SR,AK DENALI BOROUGH,2068,0
PH,AK DENALI BOROUGH,2068,0
MR,AK DILLINGHAM CENSUS AREA,2070,-1
VO,AK DILLINGHAM CENSUS AREA,2070,-1
All HUD,AK DILLINGHAM CENSUS AREA,2070,-1
S236,AK DILLINGHAM CENSUS AREA,2070,0
MF/Other,AK DILLINGHAM CENSUS AREA,2070,6
S8 NC/SR,AK DILLINGHAM CENSUS AREA,2070,8
PH,AK DILLINGHAM CENSUS AREA,2070,0
MR,AK FAIRBANKS NORTH STAR BOROUGH,2090,-1
VO,AK FAIRBANKS NORTH STAR BOROUGH,2090,-1
MF/Other,AK FAIRBANKS NORTH STAR BOROUGH,2090,95
S236,AK FAIRBANKS NORTH STAR BOROUGH,2090,0
S8 NC/SR,AK FAIRBANKS NORTH STAR BOROUGH,2090,340
All HUD,AK FAIRBANKS NORTH STAR BOROUGH,2090,-1
PH,AK FAIRBANKS NORTH STAR BOROUGH,2090,165
VO,AK HAINES BOROUGH,2100,-1
MR,AK HAINES BOROUGH,2100,-1
S236,AK HAINES BOROUGH,2100,0
MF/Other,AK HAINES BOROUGH,2100,0
S8 NC/SR,AK HAINES BOROUGH,2100,0
All HUD,AK HAINES BOROUGH,2100,-1
PH,AK HAINES BOROUGH,2100,0
VO,AK JUNEAU CITY AND BOROUGH,2110,-1
MR,AK JUNEAU CITY AND BOROUGH,2110,-1
MF/Other,AK JUNEAU CITY AND BOROUGH,2110,110
All HUD,AK JUNEAU CITY AND BOROUGH,2110,-1
S8 NC/SR,AK JUNEAU CITY AND BOROUGH,2110,52
S236,AK JUNEAU CITY AND BOROUGH,2110,138
PH,AK JUNEAU CITY AND BOROUGH,2110,207
MR,AK KENAI PENINSULA BOROUGH,2122,-1
VO,AK KENAI PENINSULA BOROUGH,2122,-1
MF/Other,AK KENAI PENINSULA BOROUGH,2122,41
S8 NC/SR,AK KENAI PENINSULA BOROUGH,2122,54
All HUD,AK KENAI PENINSULA BOROUGH,2122,-1
S236,AK KENAI PENINSULA BOROUGH,2122,0
PH,AK KENAI PENINSULA BOROUGH,2122,0
VO,AK KETCHIKAN GATEWAY BOROUGH,2130,-1
MR,AK KETCHIKAN GATEWAY BOROUGH,2130,-1
All HUD,AK KETCHIKAN GATEWAY BOROUGH,2130,-1
S8 NC/SR,AK KETCHIKAN GATEWAY BOROUGH,2130,0
S236,AK KETCHIKAN GATEWAY BOROUGH,2130,0
MF/Other,AK KETCHIKAN GATEWAY BOROUGH,2130,0
PH,AK KETCHIKAN GATEWAY BOROUGH,2130,73
MR,AK KODIAK ISLAND BOROUGH,2150,-1
VO,AK KODIAK ISLAND BOROUGH,2150,-1
MF/Other,AK KODIAK ISLAND BOROUGH,2150,36
All HUD,AK KODIAK ISLAND BOROUGH,2150,-1
S8 NC/SR,AK KODIAK ISLAND BOROUGH,2150,0
S236,AK KODIAK ISLAND BOROUGH,2150,0
PH,AK KODIAK ISLAND BOROUGH,2150,19
MR,AK LAKE AND PENINSULA BOROUGH,2164,-1
VO,AK LAKE AND PENINSULA BOROUGH,2164,-1
