cbsa_fips,cbsa,cluster3,cluster7,cluster14
29020,"Kokomo, IN",1,4,9
29100,"La Crosse-Onalaska, WI-MN",1,4,9
29180,"Lafayette, LA",3,5,8
29200,"Lafayette-West Lafayette, IN",3,5,8
29340,"Lake Charles, LA",1,1,1
29460,"Lakeland-Winter Haven, FL",1,6,11
29540,"Lancaster, PA",1,4,9
29620,"Lansing-East Lansing, MI",2,2,2
29700,"Laredo, TX",1,1,10
29740,"Las Cruces, NM",3,5,8
29820,"Las Vegas-Henderson-Paradise, NV",1,3,3
29940,"Lawrence, KS",3,5,7
30020,"Lawton, OK",1,1,1
30140,"Lebanon, PA",1,4,9
30300,"Lewiston, ID-WA",1,4,6
30340,"Lewiston-Auburn, ME",1,4,9
30460,"Lexington-Fayette, KY",1,3,12
30620,"Lima, OH",2,2,5
30700,"Lincoln, NE",3,5,8
30780,"Little Rock-North Little Rock-Conway, AR",1,3,12
30860,"Logan, UT-ID",3,5,8
30980,"Longview, TX",1,1,1
31020,"Longview, WA",1,4,6
31080,"Los Angeles-Long Beach-Anaheim, CA",2,7,13
31140,"Louisville/Jefferson County, KY-IN",1,3,12
31180,"Lubbock, TX",3,5,8
31340,"Lynchburg, VA",1,4,9
31420,"Macon, GA",1,1,1
31460,"Madera, CA",1,1,10
31540,"Madison, WI",3,5,8
31700,"Manchester-Nashua, NH",1,3,3
31900,"Mansfield, OH",2,2,5
32580,"McAllen-Edinburg-Mission, TX",1,1,10
32780,"Medford, OR",1,4,6
32820,"Memphis, TN-MS-AR",1,3,12
32900,"Merced, CA",1,1,10
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1,3,3
33140,"Michigan City-La Porte, IN",2,2,5
33260,"Midland, TX",1,4,6
33340,"Milwaukee-Waukesha-West Allis, WI",2,7,13
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",1,3,3
33540,"Missoula, MT",3,5,7
33660,"Mobile, AL",1,1,1
33700,"Modesto, CA",1,1,10
33740,"Monroe, LA",1,1,1
33780,"Monroe, MI",1,4,9
33860,"Montgomery, AL",1,1,1
34060,"Morgantown, WV",3,5,8
34100,"Morristown, TN",1,1,1
34580,"Mount Vernon-Anacortes, WA",1,4,6
34620,"Muncie, IN",1,1,1
34740,"Muskegon, MI",2,2,4
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",1,6,11
34900,"Napa, CA",1,4,6
34940,"Naples-Immokalee-Marco Island, FL",1,6,11
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1,3,12
35300,"New Haven-Milford, CT",2,7,13
35380,"New Orleans-Metairie, LA",2,2,5
35620,"New York-Newark-Jersey City, NY-NJ-PA",2,7,13
35660,"Niles-Benton Harbor, MI",2,2,5
35840,"North Port-Sarasota-Bradenton, FL",1,6,11
35980,"Norwich-New London, CT",1,4,9
36100,"Ocala, FL",1,6,11
36140,"Ocean City, NJ",1,6,14
36220,"Odessa, TX",1,1,1
36260,"Ogden-Clearfield, UT",1,4,6
36420,"Oklahoma City, OK",1,3,12
36500,"Olympia-Tumwater, WA",1,4,9
36540,"Omaha-Council Bluffs, NE-IA",1,4,9
36740,"Orlando-Kissimmee-Sanford, FL",1,3,3
36780,"Oshkosh-Neenah, WI",1,4,9
36980,"Owensboro, KY",1,1,1
37100,"Oxnard-Thousand Oaks-Ventura, CA",1,4,6
37340,"Palm Bay-Melbourne-Titusville, FL",1,6,11
37460,"Panama City, FL",1,4,6
37620,"Parkersburg-Vienna, WV",2,2,5
37860,"Pensacola-Ferry Pass-Brent, FL",1,4,6
37900,"Peoria, IL",1,4,9
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2,7,13
38060,"Phoenix-Mesa-Scottsdale, AZ",1,3,3
38220,"Pine Bluff, AR",1,1,1
38300,"Pittsburgh, PA",2,2,2
38340,"Pittsfield, MA",1,4,9
38540,"Pocatello, ID",1,4,6
38860,"Portland-South Portland, ME",1,4,9
38900,"Portland-Vancouver-Hillsboro, OR-WA",1,3,3
38940,"Port St. Lucie, FL",1,6,11
39140,"Prescott, AZ",1,6,11
39300,"Providence-Warwick, RI-MA",2,7,13
39340,"Provo-Orem, UT",1,4,6
39380,"Pueblo, CO",1,1,1
39460,"Punta Gorda, FL",1,6,11
39540,"Racine, WI",1,4,9
39580,"Raleigh, NC",1,3,3
39660,"Rapid City, SD",1,4,9
39740,"Reading, PA",2,2,4
39820,"Redding, CA",1,4,6
39900,"Reno, NV",1,3,3
40060,"Richmond, VA",1,3,12
40140,"Riverside-San Bernardino-Ontario, CA",1,1,10
40220,"Roanoke, VA",1,4,9
40340,"Rochester, MN",1,4,9
40380,"Rochester, NY",2,2,2
40420,"Rockford, IL",2,2,4
40580,"Rocky Mount, NC",1,1,1
40660,"Rome, GA",1,1,1
40900,"Sacramento--Roseville--Arden-Arcade, CA",1,3,3
40980,"Saginaw, MI",2,2,5
41060,"St. Cloud, MN",1,4,9
41100,"St. George, UT",1,4,6
41140,"St. Joseph, MO-KS",2,2,5
41180,"St. Louis, MO-IL",2,2,2
41420,"Salem, OR",1,4,9
41500,"Salinas, CA",1,4,6
41540,"Salisbury, MD-DE",1,4,9
41620,"Salt Lake City, UT",1,3,3
41660,"San Angelo, TX",1,1,1
41700,"San Antonio-New Braunfels, TX",1,3,12
41740,"San Diego-Carlsbad, CA",1,3,3
41860,"San Francisco-Oakland-Hayward, CA",2,7,13
41940,"San Jose-Sunnyvale-Santa Clara, CA",1,3,3
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",1,4,6
42100,"Santa Cruz-Watsonville, CA",3,5,8
42140,"Santa Fe, NM",1,4,6
42200,"Santa Maria-Santa Barbara, CA",3,5,8
42220,"Santa Rosa, CA",1,4,6
42340,"Savannah, GA",1,3,12
42540,"Scranton--Wilkes-Barre--Hazleton, PA",2,2,5
42660,"Seattle-Tacoma-Bellevue, WA",1,3,3
42680,"Sebastian-Vero Beach, FL",1,6,11
43100,"Sheboygan, WI",1,4,9
43300,"Sherman-Denison, TX",1,1,1
43340,"Shreveport-Bossier City, LA",1,1,1
43580,"Sioux City, IA-NE-SD",1,4,9
43620,"Sioux Falls, SD",1,4,9
43780,"South Bend-Mishawaka, IN-MI",2,2,2
43900,"Spartanburg, SC",1,1,1
44060,"Spokane-Spokane Valley, WA",1,4,9
44100,"Springfield, IL",1,4,9
44140,"Springfield, MA",2,2,2
44180,"Springfield, MO",1,4,6
44220,"Springfield, OH",2,2,5
44300,"State College, PA",3,5,8
44700,"Stockton-Lodi, CA",1,1,10
44940,"Sumter, SC",1,1,1
45060,"Syracuse, NY",2,2,2
45220,"Tallahassee, FL",1,3,12
45300,"Tampa-St. Petersburg-Clearwater, FL",1,3,3
45460,"Terre Haute, IN",2,2,5
45500,"Texarkana, TX-AR",1,1,1
45780,"Toledo, OH",2,2,2
45820,"Topeka, KS",1,4,9
45940,"Trenton, NJ",2,7,13
46060,"Tucson, AZ",1,3,3
46140,"Tulsa, OK",1,3,12
46220,"Tuscaloosa, AL",3,5,8
46340,"Tyler, TX",1,4,6
46540,"Utica-Rome, NY",2,2,5
46660,"Valdosta, GA",1,1,1
46700,"Vallejo-Fairfield, CA",1,4,6
47020,"Victoria, TX",1,1,1
47220,"Vineland-Bridgeton, NJ",2,2,4
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1,3,12
47300,"Visalia-Porterville, CA",1,1,10
47380,"Waco, TX",3,5,8
47580,"Warner Robins, GA",1,1,1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2,2,2
47940,"Waterloo-Cedar Falls, IA",1,4,9
48140,"Wausau, WI",1,4,9
48260,"Weirton-Steubenville, WV-OH",2,2,5
48300,"Wenatchee, WA",1,4,6
48540,"Wheeling, WV-OH",2,2,5
48620,"Wichita, KS",1,4,9
48660,"Wichita Falls, TX",1,1,1
48700,"Williamsport, PA",1,4,9
48900,"Wilmington, NC",1,1,1
49020,"Winchester, VA-WV",1,4,9
49180,"Winston-Salem, NC",1,3,12
49340,"Worcester, MA-CT",2,2,2
49420,"Yakima, WA",1,1,1
49620,"York-Hanover, PA",1,4,9
49660,"Youngstown-Warren-Boardman, OH-PA",2,2,5
49700,"Yuba City, CA",1,1,10
49740,"Yuma, AZ",1,6,11
